source,area,iso,adm_id,id,sex,age2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DHS,Western Asia,IRQ,Anbar,1,1,1,21257,23368.13141,25479.54315,26107.08872,26836.3659,27778.14145,27307.25368,18771.06834,18853.55925,18910.74136,18898.48045,23275.42846,24674.67156,24240.14989,23684.37185,23002.83834,22246.22335,21383.37486,20457.58593,19517.68265,18591.35742
DHS,Western Asia,IRQ,Anbar,1,1,10,77749,77945.38994,78141.65815,81304.3408,84580.37655,88025.46497,86302.92076,104412.2917,103637.0789,102742.7512,101591.1745,98298.8916,96181.94832,94071.92536,91895.85115,89772.10802,87728.47003,85670.48209,83506.42958,81132.33734,78493.10637
DHS,Western Asia,IRQ,Anbar,1,1,15,67284,67664.79312,68045.75487,70937.82927,73879.37743,76794.80103,75337.08923,92763.11874,91230.78905,89934.91269,88940.17738,87561.63437,85863.07504,85116.38391,83962.13868,82274.3606,80124.23015,77574.89715,74786.08409,71963.39473,69200.18436
DHS,Western Asia,IRQ,Anbar,1,1,20,55344,56678.07137,58012.41524,60246.1794,62522.38835,64879.80641,63701.09738,71092.18827,69918.96223,68797.03732,67747.50717,61580.85206,60290.7101,59502.8078,58619.69566,57617.91292,56420.6947,55139.48724,53692.52314,51980.85044,49974.42961
DHS,Western Asia,IRQ,Anbar,1,1,25,45181,48997.47424,52814.23027,55421.81552,57945.62239,60325.23168,59135.42703,61638.06231,60286.95268,58980.72172,57821.082,55983.55913,58312.50331,57724.26619,56996.85849,56048.23094,54773.8799,53305.38029,51681.65456,49959.20227,48161.33095
DHS,Western Asia,IRQ,Anbar,1,1,30,34018,37532.65264,41047.62626,43247.95492,45406.84097,47596.67327,46501.75712,50390.11112,49840.5422,49166.5965,48378.26327,41880.44349,43374.01478,42655.43896,41898.45814,41101.84703,40163.42177,39178.47506,38113.0976,36925.77378,35599.03447
DHS,Western Asia,IRQ,Anbar,1,1,35,25273,27139.51058,29005.61231,31936.90444,34823.13945,37479.42296,36151.28121,41709.12082,41471.19315,41136.22015,40818.91711,38939.56644,38853.99801,38607.42272,38207.74108,37610.78687,36769.99391,35770.11368,34653.24075,33474.44018,32259.99476
DHS,Western Asia,IRQ,Anbar,1,1,4,75608,84135.17555,92662.20065,95905.38791,99125.53711,102584.7566,100855.1469,83882.88402,83080.04564,82399.58936,81755.15514,88000.23999,91458.74612,90286.19304,88766.68406,86886.26357,84900.22595,82350.18627,79369.96424,76107.26152,72662.4126
DHS,Western Asia,IRQ,Anbar,1,1,40,17141,18186.12296,19231.45871,20629.75776,22335.00426,24306.17987,23320.59207,33579.1921,34948.29418,36060.90339,36798.50331,32545.35633,32082.39018,31980.3218,31757.78934,31457.91098,30999.74614,30450.54673,29786.07262,28974.17554,28006.8892
DHS,Western Asia,IRQ,Anbar,1,1,45,17552,17337.44528,17122.49133,16944.8251,16866.15989,17143.51947,17004.83968,25004.46818,25301.70147,25881.24987,26679.37887,23389.02232,23061.68362,24060.06094,24833.99055,25266.45176,25332.91554,25106.81117,24661.62459,24097.68949,23465.9039
